symbol,chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,tag,exh,max_evals
ACVR1,CHEMBL2,-6.647,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL442,-8.538,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL42,-6.956,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL445,-7.663,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL459,-6.88,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL71,-6.101,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL72,-7.719,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL493,-5.055,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL85,-7.234,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL531,-6.13,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL589,-6.004,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL597,-4.876,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL19236,-6.189,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL621,-7.663,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL623,-7.897,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL629,-6.574,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL128,-8.326,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL647,-6.481,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL134,-4.693,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL654,-6.214,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL677,-7.877,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL679,-5.441,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL708,-5.597,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL715,-6.524,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL716,-5.794,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL27810,-6.907,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL753,-6.339,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL761,-9.802,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL762,-5.133,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL770,-7.978,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL778,-7.433,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL831,-7.359,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL289480,-9.076,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL844,-8.155,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL862,-8.017,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL301265,-6.066,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL312448,-6.786,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1079,-7.565,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1112,-6.15,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1113,-7.722,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1185,-9.014,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL184412,-8.81,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1437,-7.183,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL255044,-7.281,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1732,-7.972,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1764,-6.731,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1201087,-7.69,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1201234,-5.597,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1237021,-7.611,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL2103827,-8.648,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL3188267,-6.624,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1446650,-7.151,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL3545309,-7.685,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1229211,-7.473,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL2106615,-6.2,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1201288,-5.037,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL494753,-6.638,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL887,-7.9,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL566315,-7.264,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL159226,-6.563,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1200491,-5.774,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL4071161,-9.789,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL3545060,-7.931,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1200506,-6.14,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1256400,-6.542,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL492,-7.286,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1098285,-7.806,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1289926,-7.271,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1334033,-6.642,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1290,-6.608,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1632,-7.643,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL667,-9.029,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1200601,-6.878,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1118,-5.89,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1254682,-7.677,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL637,-6.467,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL341812,-7.636,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL139877,-5.622,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL2110725,-6.198,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL1722209,-7.48,3,0.0,0.0,5.0,0,,_selftest,1,0
ACVR1,CHEMBL36715,-7.707,3,0.0,0.0,5.0,0,,_selftest,1,0
