symbol,chembl_id,affinity,n_modes,rmsd_lb,rmsd_ub,sec,rc,err,tag,exh,max_evals,drug_lc,pref_name,mw,logp,tpsa,hbd,hba,rotb,charge,n_torsions,drh_phase,drh_moa,drh_indication,pain_prior,atc,neg_aff,pct_in_target,n_ligands_target,z_in_target,D1_affinity,D2_pharm_prior,D3_accessibility,D4_reliability,composite,in_top1pct,in_top5pct
ADRA2A,CHEMBL255044,-9.131,3,0.0,0.0,5.0,0,,_selftest,1,0,flupirtine,FLUPIRTINE,304.3,2.98,89.3,3.0,5.0,5.0,0.0,14.0,Launched,glutamate receptor antagonist,pain relief,True,N02BG07,9.131,90.0,400,1.438667083937035,0.9,0.6000000000000001,1.0,0.9678285714285715,0.8551742857142857,False,False
ADRA2A,CHEMBL589,-9.88,3,0.0,0.0,5.0,0,,_selftest,1,0,ropinirole,ROPINIROLE,260.4,2.85,32.3,1.0,2.0,7.0,0.0,14.0,Launched,dopamine receptor agonist,Parkinson's Disease|restless leg syndrome,False,N04BC04,9.88,99.5,400,2.0012912142332455,0.995,0.4,1.0,0.9678285714285715,0.8431742857142857,True,True
ADRA2A,CHEMBL1732,-9.819,3,0.0,0.0,5.0,0,,_selftest,1,0,dihydroergotamine,DIHYDROERGOTAMINE,583.7,2.08,118.2,3.0,6.0,4.0,0.0,10.0,Launched,serotonin receptor agonist,migraine headache,False,N02CA01;N02CA51,9.819,98.75,400,1.9554700233813511,0.9875,0.6000000000000001,0.75,0.9678285714285715,0.8401742857142858,False,True
ADRA2A,CHEMBL761,-9.615,3,0.0,0.0,5.0,0,,_selftest,1,0,naphazoline,NAPHAZOLINE,210.3,2.38,24.4,1.0,2.0,2.0,0.0,4.0,Launched,adrenergic receptor agonist,eye irritation,False,R01AA08;S01GA51;S01GA01;R01AB02,9.615,98.25,400,1.8022319424996058,0.9825,0.4,1.0,0.9678285714285715,0.8381742857142858,False,True
ADRA2A,CHEMBL715,-9.518,3,0.0,0.0,5.0,0,,_selftest,1,0,olanzapine,OLANZAPINE,312.4,3.44,30.9,1.0,5.0,0.0,0.0,0.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder,False,N05AH03,9.518,97.25,400,1.7293687373744628,0.9725,0.4,1.0,0.9678285714285715,0.8341742857142858,False,True
ADRA2A,CHEMBL621,-9.474,3,0.0,0.0,5.0,0,,_selftest,1,0,trazodone,TRAZODONE,371.9,2.36,45.8,0.0,4.0,5.0,0.0,10.0,Launched,adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor,depression,False,N06AX05,9.474,96.75,400,1.696317386596047,0.9675,0.4,1.0,0.9678285714285715,0.8321742857142858,False,True
ADRA2A,CHEMBL85,-9.43,3,0.0,0.0,5.0,0,,_selftest,1,0,risperidone,RISPERIDONE,410.5,3.59,64.2,0.0,5.0,4.0,0.0,8.0,Launched,dopamine receptor antagonist|serotonin receptor antagonist,schizophrenia|bipolar disorder|irritability,False,N05AX08,9.43,96.5,400,1.6632660358176312,0.965,0.4,1.0,0.9678285714285715,0.8311742857142856,False,True
ADRA2A,CHEMBL762,-9.38,3,0.0,0.0,5.0,0,,_selftest,1,0,oxymetazoline,OXYMETAZOLINE,260.4,2.85,44.6,2.0,3.0,2.0,0.0,8.0,Launched,adrenergic receptor agonist,nasal congestion,False,D11AX27;R01AA05;S01GA04;R01AB07,9.38,95.75,400,1.6257076826603416,0.9575,0.4,1.0,0.9678285714285715,0.8281742857142858,False,True
ADRA2A,CHEMBL71,-9.377,3,0.0,0.0,5.0,0,,_selftest,1,0,chlorpromazine,CHLORPROMAZINE,318.9,4.89,6.5,0.0,3.0,4.0,0.0,8.0,Launched,dopamine receptor antagonist,schizophrenia|nausea|vomiting|acute intermittent porphyria (AIP)|tetanus,False,N05AA01,9.377,95.5,400,1.623454181470904,0.955,0.4,1.0,0.9678285714285715,0.8271742857142856,False,True
ADRA2A,CHEMBL778,-9.361,3,0.0,0.0,5.0,0,,_selftest,1,0,dexmedetomidine,DEXMEDETOMIDINE,200.3,3.18,28.7,1.0,1.0,2.0,0.0,4.0,Launched,adrenergic receptor agonist,sedative,True,N05CM18,9.361,95.0,400,1.6114355084605712,0.95,0.4,1.0,0.9678285714285715,0.8251742857142856,False,True
